歌曲名,艺术家,专辑名,id,歌曲来源名称,封面,时长
No One Noticed,The Marías,If Only + No One Noticed,wy_2151245821,wy,http://p2.music.126.net/cHjXCxJR-tn7VJvlmZQvUw==/109951169616407801.jpg,03:56
Broken Strings,Alan Walker、Isabella Melkman、Katherine O'Ryan,"World of Walker, Season One: Rise of the Drones",wy_3334321868,wy,http://p1.music.126.net/4qXeyQjGs-EougtZYJ-w9g==/109951172591878781.jpg,02:27
EX,Kiana Ledé,Selfless,wy_866065093,wy,http://p1.music.126.net/M4mtnrlc0lMawI8qcQBJxQ==/109951163405837765.jpg,03:42
步步,五月天,步步 自选作品辑,wy_28181103,wy,http://p2.music.126.net/7g0QYe0twjfOeCCWy9qxMw==/109951168144493672.jpg,04:33
Fractures,ILLENIUM、Nevve,Fractures,wy_456185577,wy,http://p2.music.126.net/YgDqFhazYZ3s10RmkgIHzg==/18748872278605604.jpg,04:05
麦恩莉,方大同,回到未来,tx_001lmD2a2YZYN3,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000000ih4iv3HCmno.jpg,04:48
表态,梁博,表态,tx_002AIO8z0mhD6d,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003IfNQo0Qu0W7.jpg,04:31
反乌托邦Pt.2,亞細亞曠世奇才、洛天依Official、乌托邦P,反乌托邦Pt.2,wy_3330630999,wy,http://p1.music.126.net/gH89vjqKtN6YAkHE2OsCPQ==/109951172460612010.jpg,02:59
寥寥此生虚度,暗杠,寥寥此生虚度,tx_003est3Y0FWcjW,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000000VfZbS2LdHxc.jpg,03:37
下完这场雨,后弦,下完这场雨,tx_002FsceO4WxKyF,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000004ZXlA63dZBCa.jpg,04:31
恋人,李荣浩,黑马,tx_001auUcH4WQs2V,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000004HaG7p4ZkhXA.jpg,04:35
